policy,mean,std,count,sigma,impurity,num_dim
average,0.7004799999999987,0.0025780643933028522,1000,0.5,-0.52,5
ensemble,0.744999999999999,0.0015767962094976806,1000,0.5,-0.52,5
plurality,0.7599999999999928,2.2831836319315643e-16,1000,1.0,-0.52,5
default,0.6927599999999985,0.0025295812264446394,1000,1.0,-0.52,5
augment,0.7473199999999963,0.001268395216967649,1000,1.0,-0.52,5
average,0.6515999999999983,0.00295116067833478,1000,1.0,-0.52,5
ensemble,0.7297199999999983,0.0017007098559172287,1000,1.0,-0.52,5
plurality,0.7599999999999928,2.2831836319315643e-16,1000,1.5,-0.52,5
default,0.6877999999999987,0.0026651572304580958,1000,1.5,-0.52,5
augment,0.7491599999999958,0.0010615183565163716,1000,1.5,-0.52,5
average,0.6448399999999995,0.0029415007779748877,1000,1.5,-0.52,5
ensemble,0.7290399999999994,0.0018053081558386422,1000,1.5,-0.52,5
plurality,0.7599999999999928,2.2831836319315643e-16,1000,2.0,-0.52,5
default,0.6873599999999976,0.002569442046910663,1000,2.0,-0.52,5
augment,0.7470799999999961,0.0011492581930943164,1000,2.0,-0.52,5
average,0.6330399999999999,0.003078609464715565,1000,2.0,-0.52,5
ensemble,0.7231199999999995,0.0017635690447997065,1000,2.0,-0.52,5
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.0,0.0,7
default,0.9199999999999847,4.847374480100859e-16,1000,0.0,0.0,7
augment,0.9199999999999847,4.847374480100859e-16,1000,0.0,0.0,7
average,0.9199999999999847,4.847374480100859e-16,1000,0.0,0.0,7
ensemble,0.9199999999999847,4.847374480100859e-16,1000,0.0,0.0,7
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.2,0.0,7
default,0.6933599999999982,0.0027658561713076084,1000,0.2,0.0,7
augment,0.7226799999999977,0.002700835447063013,1000,0.2,0.0,7
average,0.7261999999999977,0.002738660303918728,1000,0.2,0.0,7
ensemble,0.7163199999999978,0.0027382394993052594,1000,0.2,0.0,7
plurality,0.5199999999999929,2.2480577299018473e-16,1000,0.5,0.0,7
default,0.58624,0.0031607360934840303,1000,0.5,0.0,7
augment,0.6239199999999996,0.0029696889824782358,1000,0.5,0.0,7
average,0.6255199999999999,0.0029411187972912187,1000,0.5,0.0,7
ensemble,0.615559999999999,0.003057193620435715,1000,0.5,0.0,7
plurality,0.5199999999999929,2.2480577299018473e-16,1000,1.0,0.0,7
default,0.5182000000000003,0.003197840863174122,1000,1.0,0.0,7
augment,0.5356400000000001,0.003195121155637015,1000,1.0,0.0,7
average,0.53248,0.003085607001964209,1000,1.0,0.0,7
ensemble,0.5331200000000006,0.0030912491684465374,1000,1.0,0.0,7
