time,P1,P2,P3,P4,P5,P6,P7,P8
1040.0,4.346277048082829,2.091847496179384,0.07210994749111085,2.1876366607034097,0.08927553189266005,0.27481308051764186,4.342149836757415,3.453335965335431
1050.0,4.363832769414457,2.0985751062281808,0.06961435058794206,2.1824274621442683,0.08802249883922869,0.2733181769881464,4.425920127710832,3.4130123451404764
1060.0,4.374653120299,2.1033530392056607,0.06749775569222985,2.176276833345758,0.08697261785473778,0.2716767122583599,4.511114007655479,3.372475073153808
1070.0,4.379234539125216,2.106218433954371,0.06570241001093442,2.1699914110940917,0.08609222407534774,0.2701011296829795,4.597644567632742,3.332093445629294
1080.0,4.378557573004502,2.1073792302543817,0.06417949997109391,2.1641916738733187,0.08535368681607941,0.2687442920801931,4.685283714681166,3.2921490304788703
1090.0,4.373871789345289,2.1071513839134424,0.06288772885894255,2.1592990731992905,0.08473424038055886,0.26770239670746065,4.77372294604064,3.252830802184188
1100.0,4.366508040824088,2.1059015022319696,0.061792130306213104,2.1555454730507564,0.0842150372490837,0.26702117792210184,4.862627222391167,3.214240381976554
1110.0,4.357731283110914,2.103999752663489,0.06086307728057323,2.152998590229188,0.08378039204208652,0.2667039594791781,4.951672263288002,3.17640566353624
1120.0,4.348636266760183,2.1017843963281604,0.060075439133346314,2.151596638489054,0.08341717064605679,0.26672079308306845,5.040574595629309,3.1392972465265108
1130.0,4.340086140871319,2.099538489014929,0.05940788577122692,2.1511865329306854,0.0831143108543712,0.26701806898841757,5.129106753341246,3.10284669074675
1140.0,4.332688341013429,2.097477595101293,0.058842295321775026,2.1515609752668876,0.08286243845021969,0.2675280790957437,5.217102791679391,3.066963796030492
1150.0,4.326800571290742,2.0957467857160763,0.058363261339030054,2.1524912626623456,0.0826535673441979,0.26817793846705745,5.304454873279914,3.031551801637301
1160.0,4.322558470157846,2.094424774506995,0.057957675925236186,2.1537537928066555,0.08248086389083197,0.26889725582526747,5.391103563001753,2.9965196009142687
1170.0,4.319917229113878,2.0935331116573725,0.05761438364850949,2.155149556828387,0.08233846640461437,0.26962410757113736,5.477027559600136,2.961789858771304
1180.0,4.318699481513654,2.093048265272113,0.05732388904017893,2.156516385293286,0.08222134472848688,0.27030894159723046,5.56222846667816,2.9273046891742567
1190.0,4.318643742795538,2.0929148707150387,0.05707811157843935,2.1577348291769303,0.08212519152875726,0.2709164644909072,5.646718111151914,2.893027887802188
1200.0,4.31944878775927,2.0930586642582107,0.05687018002451069,2.158728645157512,0.08204633609119764,0.2714256959762109,5.730507387656012,2.8589447365546414
